epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6654,0.85135,3.83509,1.36417,0,0,0,0,0.23969,4.41372,1.05864,2.502e-05,2.502e-05,2.502e-05
2,14.6872,0.76482,3.75607,1.30054,0,0,0,0,0.18065,4.37245,0.98549,5.31366e-05,5.31366e-05,5.31366e-05
3,18.8223,0.534,3.3487,1.13781,0,0,0,0,0.19403,4.33698,0.91466,8.00974e-05,8.00974e-05,8.00974e-05
4,22.9655,0.50839,2.9308,1.10652,0.5,0.27273,0.38517,0.38517,0.1956,4.30178,0.91333,0.000105902,0.000105902,0.000105902
5,27.2841,0.51686,2.45066,1.09361,0.47619,0.90909,0.52081,0.51441,0.22831,4.28064,0.94973,0.000130551,0.000130551,0.000130551
6,31.4688,0.52083,2.00162,1.08632,0.44,1,0.56442,0.55635,0.22323,4.15703,0.93803,0.000154044,0.000154044,0.000154044
7,35.6388,0.48424,1.62004,1.08238,0.42308,1,0.4908,0.48028,0.24855,3.87774,0.93931,0.000176381,0.000176381,0.000176381
8,39.8517,0.44492,1.33137,1.05689,0.33333,1,0.49193,0.47602,0.26373,3.35269,0.94986,0.000197562,0.000197562,0.000197562
9,45.8282,0.43068,1.09855,1.0533,0.43153,0.89733,0.46977,0.45216,0.31996,2.81533,0.97898,0.000217587,0.000217587,0.000217587
10,52.3833,0.41681,0.92431,1.05223,0.43553,1,0.45079,0.4449,0.26013,2.46455,0.94916,0.000236457,0.000236457,0.000236457
11,56.5456,0.39588,0.80564,1.05274,0.44676,1,0.51204,0.51204,0.21839,2.19102,0.91844,0.00025417,0.00025417,0.00025417
12,60.7095,0.38202,0.71693,1.04056,0.44485,1,0.47354,0.47182,0.17426,2.02433,0.89675,0.000270727,0.000270727,0.000270727
13,64.8704,0.38006,0.68817,1.04005,0.43751,1,0.51027,0.50868,0.16261,1.955,0.89252,0.000286129,0.000286129,0.000286129
14,69.3067,0.35994,0.63816,1.02792,0.52994,0.77273,0.55249,0.55249,0.16101,1.9058,0.89724,0.000300374,0.000300374,0.000300374
15,73.4433,0.35789,0.60547,1.0231,0.45433,1,0.48038,0.48038,0.18173,1.9536,0.90977,0.000301408,0.000301408,0.000301408
16,77.6115,0.38095,0.60754,1.02455,0.48371,0.95455,0.52162,0.51814,0.19814,1.90971,0.9081,0.000293151,0.000293151,0.000293151
17,81.7766,0.36891,0.58052,1.01322,0.44821,0.95455,0.48341,0.46816,0.21978,1.85114,0.91089,0.000284894,0.000284894,0.000284894
18,85.9455,0.3615,0.56613,1.00577,0.44759,1,0.50809,0.50809,0.15314,1.95538,0.88756,0.000276638,0.000276638,0.000276638
19,90.116,0.35772,0.54534,1.01535,0.45686,0.90909,0.60729,0.60729,0.15988,1.75479,0.89988,0.000268381,0.000268381,0.000268381
20,94.3107,0.35211,0.52955,1.00754,0.45721,1,0.55291,0.55291,0.17826,1.90134,0.90106,0.000260125,0.000260125,0.000260125
21,98.4965,0.33869,0.51605,0.9914,0.44655,1,0.46631,0.46231,0.16165,1.83937,0.89161,0.000251868,0.000251868,0.000251868
22,102.682,0.32583,0.49468,0.98734,0.44775,1,0.54892,0.54645,0.17504,1.88281,0.90626,0.000243611,0.000243611,0.000243611
23,106.871,0.321,0.48429,0.98816,0.43924,1,0.47887,0.47887,0.1243,1.95923,0.87953,0.000235355,0.000235355,0.000235355
24,111.046,0.31449,0.47075,0.98239,0.43955,1,0.45265,0.44484,0.16393,2.08002,0.88684,0.000227098,0.000227098,0.000227098
25,115.246,0.31688,0.46349,0.97694,0.43963,1,0.46992,0.46992,0.1289,2.22362,0.8857,0.000218842,0.000218842,0.000218842
26,119.457,0.30676,0.46234,0.98178,0.43992,1,0.53091,0.53091,0.14574,2.04841,0.88658,0.000210585,0.000210585,0.000210585
27,123.64,0.31193,0.45708,0.98048,0.43989,1,0.551,0.551,0.12892,2.08305,0.88414,0.000202328,0.000202328,0.000202328
28,127.908,0.31046,0.45216,0.98261,0.44482,1,0.50623,0.50623,0.10105,2.27406,0.87943,0.000194072,0.000194072,0.000194072
29,132.169,0.29106,0.43224,0.97305,0.43933,1,0.57598,0.57598,0.12005,2.0088,0.8797,0.000185815,0.000185815,0.000185815
30,136.426,0.29233,0.42545,0.97166,0.44687,1,0.51657,0.51657,0.11639,2.27487,0.88198,0.000177559,0.000177559,0.000177559
31,140.692,0.29199,0.41787,0.96925,0.43964,1,0.51429,0.51429,0.09134,2.43693,0.87521,0.000169302,0.000169302,0.000169302
32,144.983,0.29044,0.42099,0.96616,0.43955,1,0.52781,0.52781,0.12559,2.25641,0.8893,0.000161045,0.000161045,0.000161045
33,149.253,0.29419,0.4133,0.96739,0.43992,1,0.5207,0.51908,0.13827,1.93952,0.88213,0.000152789,0.000152789,0.000152789
34,153.529,0.29673,0.41124,0.96985,0.43997,1,0.5958,0.5958,0.10787,2.04794,0.87975,0.000144532,0.000144532,0.000144532
35,157.799,0.28486,0.40803,0.96396,0.43968,1,0.50076,0.49913,0.09991,2.08669,0.88061,0.000136276,0.000136276,0.000136276
36,162.051,0.27382,0.39618,0.96426,0.43967,1,0.67613,0.67613,0.08429,2.23909,0.87594,0.000128019,0.000128019,0.000128019
37,166.338,0.26918,0.38965,0.95354,0.43954,1,0.449,0.449,0.1105,2.19831,0.8788,0.000119762,0.000119762,0.000119762
38,170.599,0.27645,0.385,0.96764,0.43954,1,0.51192,0.51192,0.0991,2.2416,0.87697,0.000111506,0.000111506,0.000111506
39,174.886,0.26981,0.37868,0.95921,0.43965,1,0.45697,0.45697,0.09193,2.3336,0.87217,0.000103249,0.000103249,0.000103249
40,179.353,0.26901,0.37512,0.95659,0.43954,1,0.49309,0.49309,0.09181,2.26831,0.87525,9.49926e-05,9.49926e-05,9.49926e-05
41,188.019,0.12406,0.70706,0.83628,0.43997,1,0.56363,0.56363,0.12015,2.73952,0.88161,8.6736e-05,8.6736e-05,8.6736e-05
42,192.262,0.09711,0.48567,0.82413,0.45528,1,0.52434,0.52434,0.11891,2.18218,0.87837,7.84794e-05,7.84794e-05,7.84794e-05
43,196.538,0.0933,0.46237,0.81825,0.45233,1,0.55092,0.55092,0.10939,2.03542,0.87656,7.02228e-05,7.02228e-05,7.02228e-05
44,200.779,0.08639,0.4355,0.81614,0.43991,1,0.63417,0.63417,0.0957,2.18705,0.87346,6.19662e-05,6.19662e-05,6.19662e-05
45,205.016,0.08277,0.41784,0.80496,0.4398,1,0.56441,0.56441,0.09155,2.22302,0.87256,5.37096e-05,5.37096e-05,5.37096e-05
46,209.248,0.07921,0.40819,0.81426,0.43974,1,0.61787,0.61787,0.08845,2.20871,0.87334,4.5453e-05,4.5453e-05,4.5453e-05
47,213.45,0.08015,0.40495,0.81004,0.43974,1,0.60457,0.60457,0.08345,2.18207,0.87157,3.71964e-05,3.71964e-05,3.71964e-05
48,217.683,0.07967,0.40063,0.81289,0.43977,1,0.58041,0.58041,0.08285,2.26215,0.87179,2.89398e-05,2.89398e-05,2.89398e-05
49,221.9,0.06947,0.38972,0.80931,0.4398,1,0.56168,0.56168,0.06935,2.29536,0.86933,2.06832e-05,2.06832e-05,2.06832e-05
50,226.114,0.06883,0.3841,0.81308,0.43979,1,0.58493,0.58493,0.06763,2.39054,0.86967,1.24266e-05,1.24266e-05,1.24266e-05
